曲线开始时间: ,,,Thu Apr 16 04:09:01 2009,,,,,,,,
,,,,,,,,,,,
产品名称: ,,,Reflow Demo,,,,,,,,
制程界限名称: ,,,System Default,,,,,,,,
炉子名称: ,,,8 Zone Oven,,,,,,,,
制程界限描述: ,,,Enter your Process Spec description here...,,,,,,,,
炉子食谱名称: ,,,,,,,,,,,
温度曲线描述: ,,,Maximize Conveyor Speed (Actual),,,,,,,,
产品长度 (英寸): ,,,0,,,,,,,,
产品阔度 (英寸): ,,,0,,,,,,,,
产品重量 (克): ,,,0,,,,,,,,
传送带速度单位: ,,,英寸/分,,,,,,,,
温度标度: ,,,摄氏度,,,,,,,,
SetpointAlignmentMethod=0,,,PercentageOfProfileToLookForFirstZone=33,,,,,,,,
MaxSlopeWidthInPointsToAlignSetpoints=5,,,,,MinFirstSetpointPosition=0.0,,,,,MaxFirstSetpointPosition=25.0,
fAirTCPeakShouldBeTheHottestByAtleastThisManyDegrees=5.0,,,,,fAirTCIncreasedByThisManyDegrees=0.0,,,,,,
fReportAnErrorIfAirTCPeakIsCoolerByMoreThanThisManyDegrees=10.0,,,,,,,,,,,
,,,,,,,,,,,
固化界限大小(秒)= 60,,,,固化界限大小(度)=6.0,,,,,温度曲线种类:锡膏回流,,
"有效热电偶=2, 3, 4, ",,,炉子长度=171.42,,,温区设定数量=8,,,,,
,,,,,,,,,,,
曲线最佳化设置:,,,,,,,,,,,
,允许温区温度变化=1,,,,,,,,,,
,允许传送带速度变化=1,,,,最低传送带速度=5.0,,,,最高传送带速度=60.0,,
,Navigator 计算方式= 最低化制程界限指数(PWI),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
30.75,105.84,60.45,55.4,42.51,30.17,87.45,171.19,135.61,139.34,,
31,106.4,60.84,55.95,42.84,30.17,88.16,173.26,136.03,141.11,,
31.25,106.56,61.34,56.51,43.01,30.17,88.88,173.67,136.6,142.2,,
31.5,107.01,61.9,56.95,42.51,30.23,89.59,174.7,137.06,143.04,,
31.75,107.9,62.56,57.23,43.34,30.17,90.3,176.04,137.62,143.91,,
32,108.45,63.06,57.51,43.62,30.17,91.01,177.79,138.34,145.24,,
32.25,108.95,63.62,57.84,43.84,30.17,91.72,178.4,139.18,146.77,,
32.5,109.12,64.34,58.01,44.06,30.17,92.43,179.1,139.82,147.57,,
32.75,109.9,64.84,58.34,44.45,30.17,93.14,179.41,140.69,148.15,,
33,110.56,65.34,58.73,45.01,30.17,93.85,179.81,141.64,148.83,,
33.25,110.56,65.73,59.17,45.45,30.17,94.56,180.55,142.52,149.95,,
33.5,110.73,66.34,59.73,45.9,30.17,95.27,181.4,143.73,151.21,,
33.75,111.01,66.73,60.23,46.28,30.17,95.99,181.8,144.86,151.94,,
34,111.73,67.12,60.62,46.56,30.17,96.7,181.17,145.76,152.41,,
34.25,112.12,67.45,61.17,47.01,30.17,97.41,181.01,146.98,152.81,,
34.5,112.45,67.78,61.56,47.51,30.17,98.12,181.33,148.37,153.99,,
34.75,112.78,68.17,61.9,47.95,30.17,98.83,181.84,149.64,155,,
35,113.34,68.4,62.12,48.4,30.17,99.54,181.75,150.46,155.6,,
35.25,113.4,68.73,62.4,49.01,30.17,100.25,181.67,151.68,155.78,,
35.5,113.28,68.9,62.45,49.34,30.17,100.96,182.16,152.56,155.78,,
35.75,113.12,69.28,62.56,49.56,30.17,101.67,182.85,153.85,155.61,,
36,113.73,69.73,62.67,49.78,30.17,102.38,183.63,154.9,155.54,,
36.25,113.12,69.78,62.67,50.01,30.17,103.1,184.16,155.96,155.62,,
36.5,113.17,69.9,62.67,50.17,30.17,103.81,184.25,157.03,155.69,,
36.75,113.12,69.9,62.62,50.17,30.17,104.52,184.23,158.11,155.84,,
37,112.95,70.06,62.62,50.56,30.17,105.23,184.28,159.52,156.01,,
37.25,112.45,70.17,62.62,50.73,30.17,105.94,184.28,160.26,156.26,,
37.5,112.23,70.28,62.67,50.84,30.17,106.65,184.31,161.24,156.48,,
37.75,112.01,70.34,62.67,50.9,30.17,107.36,184.12,162.03,156.75,,
38,112.17,70.4,62.78,51.17,30.17,108.07,184.02,162.33,157.01,,
38.25,112.01,70.56,62.84,51.45,30.17,108.78,184.28,163.07,157.29,,
38.5,112.06,70.73,62.95,51.67,30.17,109.49,184.45,163.37,157.5,,
38.75,112.06,70.95,63.01,51.9,30.17,110.21,184.46,163.56,157.98,,
39,112.4,71.01,63.17,52.06,30.17,110.92,184.56,163.73,158.54,,
